Name,Value,Race,Index,Winner,Role,Film
Anna Magnani,1957,White,3,Non-Winner,Gioia,Wild Is the Wind
Elizabeth Taylor,1957,White,4,Non-Winner,Susanna Drake,Raintree County
Lana Turner,1957,White,5,Non-Winner,Constance MacKenzie,Peyton Place
Susan Hayward,1958,White,1,Winner,Barbara Graham,I Want to Live
Deborah Kerr,1958,White,2,Non-Winner,Sibyl RailtonBell,Separate Tables
Shirley MacLaine,1958,White,3,Non-Winner,Ginnie Moorehead,Some Came Running
Rosalind Russell,1958,White,4,Non-Winner,Mame Dennis,Auntie Mame
Elizabeth Taylor,1958,White,5,Non-Winner,Margaret Maggie the Cat Pollitt,Cat on a Hot Tin Roof
Simone Signoret,1959,White,1,Winner,Alice Aisgill,Room at the Top
Doris Day,1959,White,2,Non-Winner,Jan Morrow,Pillow Talk
Audrey Hepburn,1959,White,3,Non-Winner,Gabrielle van der Mal,The Nuns Story
Katharine Hepburn,1959,White,4,Non-Winner,Violet Venable,Suddenly Last Summer
Elizabeth Taylor,1959,White,5,Non-Winner,Catherine Holly,
Elizabeth Taylor,1960,White,1,Winner,Gloria Wandrous,BUtterfield
Greer Garson,1960,White,2,Non-Winner,Eleanor Roosevelt,Sunrise at Campobello
Deborah Kerr,1960,White,3,Non-Winner,Ida Carmody,The Sundowners
Shirley MacLaine,1960,White,4,Non-Winner,Fran Kubelik,The Apartment
Melina Mercouri,1960,White,5,Non-Winner,Ilya,Never on Sunday
Sophia Loren,1961,White,1,Winner,Cesira,Two Women
Audrey Hepburn,1961,White,2,Non-Winner,Holly Golightly Lula Mae Barnes,Breakfast at Tiffanys
Piper Laurie,1961,White,3,Non-Winner,Sarah Packard,The Hustler
Geraldine Page,1961,White,4,Non-Winner,Alma Winemiller,Summer and Smoke
Natalie Wood,1961,White,5,Non-Winner,Wilma Dean Deanie Loomis,Splendor in the Grass
Anne Bancroft,1962,White,1,Winner,Annie Sullivan,The Miracle Worker
Bette Davis,1962,White,2,Non-Winner,Baby Jane Hudson,What Ever Happened to Baby Jane
Katharine Hepburn,1962,White,3,Non-Winner,Mary Cavan Tyrone,Long Days Journey into Night
Geraldine Page,1962,White,4,Non-Winner,Alexandra Del Lago,Sweet Bird of Youth
Lee Remick,1962,White,5,Non-Winner,Kirsten Arnesen Clay,Days of Wine and Roses
Patricia Neal,1963,White,1,Winner,Alma Brown,Hud
Leslie Caron,1963,White,2,Non-Winner,Jane Fossett,The LShaped Room
Shirley MacLaine,1963,White,3,Non-Winner,Irma La Douce,Irma la Douce
Rachel Roberts,1963,White,4,Non-Winner,Margaret Hammond,This Sporting Life
Natalie Wood,1963,White,5,Non-Winner,Angie Rossini,Love with the Proper Stranger
Julie Andrews,1964,White,1,Winner,Mary Poppins,Mary Poppins
Anne Bancroft,1964,White,2,Non-Winner,Jo Armitage,The Pumpkin Eater
Sophia Loren,1964,White,3,Non-Winner,Filumena Marturano,Marriage Italian Style
Debbie Reynolds,1964,White,4,Non-Winner,Molly Brown,The Unsinkable Molly Brown
Kim Stanley,1964,White,5,Non-Winner,Myra Savage,Sance on a Wet Afternoon
Julie Christie,1965,White,1,Winner,Diana Scott,Darling
Julie Andrews,1965,White,2,Non-Winner,Maria von Trapp,The Sound of Music
Samantha Eggar,1965,White,3,Non-Winner,Miranda Grey,The Collector
Elizabeth Hartman,1965,White,4,Non-Winner,Selina DArcy,A Patch of Blue
Simone Signoret,1965,White,5,Non-Winner,La Contessa,Ship of Fools
Elizabeth Taylor,1966,White,1,Winner,Martha,Whos Afraid of Virginia Woolf
Anouk Aime,1966,White,2,Non-Winner,Anne Gauthier,A Man and a Woman
Ida Kamiska,1966,White,3,Non-Winner,Rozalie Lautmann,The Shop on Main Street
Lynn Redgrave,1966,White,4,Non-Winner,Georgina Georgy Parkin,Georgy Girl
Vanessa Redgrave,1966,White,5,Non-Winner,Leonie Delt,Morgan
Katharine Hepburn,1967,White,1,Winner,Christina Drayton,Guess Whos Coming to Dinner
Anne Bancroft,1967,White,2,Non-Winner,Mrs Robinson,The Graduate
Faye Dunaway,1967,White,3,Non-Winner,Bonnie Parker,Bonnie and Clyde
Edith Evans,1967,White,4,Non-Winner,Maggie Ross,The Whisperers
Audrey Hepburn,1967,White,5,Non-Winner,Susy Hendrix,Wait Until Dark
Katharine Hepburn TIE C,1968,White,1,Winner,Eleanor of Aquitaine,The Lion in Winter
Barbra Streisand TIE C,1968,White,2,Winner,Fanny Brice,Funny Girl
Patricia Neal,1968,White,3,Non-Winner,Nettie Cleary,The Subject Was Roses
Vanessa Redgrave,1968,White,4,Non-Winner,Isadora Duncan,Isadora
Joanne Woodward,1968,White,5,Non-Winner,Rachel Cameron,Rachel Rachel
Maggie Smith,1969,White,1,Winner,Jean Brodie,The Prime of Miss Jean Brodie
Genevive Bujold,1969,White,2,Non-Winner,Anne Boleyn,Anne of the Thousand Days
Jane Fonda,1969,White,3,Non-Winner,Gloria Beatty,They Shoot Horses Dont They
Liza Minnelli,1969,White,4,Non-Winner,Mary Ann Pookie Adams,The Sterile Cuckoo
Jean Simmons,1969,White,5,Non-Winner,Mary Wilson,The Happy Ending
Glenda Jackson,1970,White,1,Winner,Gudrun Brangwen,Women in Love
Jane Alexander,1970,White,2,Non-Winner,Eleanor Backman,The Great White Hope
Ali MacGraw,1970,White,3,Non-Winner,Jennifer CavalleriBarrett,Love Story
Sarah Miles,1970,White,4,Non-Winner,Rosy Ryan,Ryans Daughter
Carrie Snodgress,1970,White,5,Non-Winner,Bettina Tina Balser,Diary of a Mad Housewife
Jane Fonda,1971,White,1,Winner,Bree Daniels,Klute
Julie Christie,1971,White,2,Non-Winner,Constance Miller,McCabe Mrs Miller
Glenda Jackson,1971,White,3,Non-Winner,Alex Greville,Sunday Bloody Sunday
Vanessa Redgrave,1971,White,4,Non-Winner,Mary Queen of Scots,Mary Queen of Scots
Janet Suzman,1971,White,5,Non-Winner,Empress Alexandra of Russia,Nicholas and Alexandra
Diana Ross,1972,Non-White,1,Non-Winner,Billie Holiday,Lady Sings the Blues
Cicely Tyson,1972,Non-White,2,Non-Winner,Rebecca Morgan,Sounder
Liza Minnelli,1972,White,1,Winner,Sally Bowles,Cabaret
Maggie Smith,1972,White,2,Non-Winner,Augusta Bertram,Travels with My Aunt
Liv Ullmann,1972,White,3,Non-Winner,Kristina Nilsson,The Emigrants
Glenda Jackson,1973,White,1,Winner,Vickie Allessio,A Touch of Class
Ellen Burstyn,1973,White,2,Non-Winner,Chris MacNeil,The Exorcist
Marsha Mason,1973,White,3,Non-Winner,Maggie Paul,Cinderella Liberty
Barbra Streisand,1973,White,4,Non-Winner,Katie Morosky,The Way We Were
Joanne Woodward,1973,White,5,Non-Winner,Rita Walden,Summer Wishes Winter Dreams
Diahann Carroll,1974,Non-White,1,Non-Winner,Claudine Price,Claudine
Ellen Burstyn,1974,White,1,Winner,Alice GrahamHyatt,Alice Doesnt Live Here Anymore
Faye Dunaway,1974,White,2,Non-Winner,Evelyn Cross Mulwray,Chinatown
Valerie Perrine,1974,White,3,Non-Winner,Harriett Jolliff Honey Bruce,Lenny
Gena Rowlands,1974,White,4,Non-Winner,Mabel Longhetti,A Woman Under the Influence
Isabelle Adjani,1975,Non-White,1,Non-Winner,Adle Hugo Adle Lewly,The Story of Adele H
Louise Fletcher,1975,White,1,Winner,Nurse Mildred Ratched,One Flew Over the Cuckoos Nest
AnnMargret,1975,White,2,Non-Winner,Nora Walker,Tommy
Glenda Jackson,1975,White,3,Non-Winner,Hedda Gabler,Hedda
Carol Kane,1975,White,4,Non-Winner,Gitl,Hester Street
Faye Dunaway,1976,White,1,Winner,Diana Christensen,Network
MarieChristine Barrault,1976,White,2,Non-Winner,Marthe,Cousin Cousine
Talia Shire,1976,White,3,Non-Winner,Adrian Pennino,Rocky
Sissy Spacek,1976,White,4,Non-Winner,Carrie White,Carrie
Liv Ullmann,1976,White,5,Non-Winner,Jenny Isaksson,Face to Face
Diane Keaton,1977,White,1,Winner,Annie Hall,Annie Hall
Anne Bancroft,1977,White,2,Non-Winner,Emma Jacklin,The Turning Point
Jane Fonda,1977,White,3,Non-Winner,Lillian Hellman,Julia
Shirley MacLaine,1977,White,4,Non-Winner,Deedee Rodgers,The Turning Point
Marsha Mason,1977,White,5,Non-Winner,Paula McFadden,The Goodbye Girl
Jane Fonda,1978,White,1,Winner,Sally Hyde,Coming Home
Ingrid Bergman,1978,White,2,Non-Winner,Charlotte Andergast,Autumn Sonata
Ellen Burstyn,1978,White,3,Non-Winner,Doris,Same Time Next Year
Jill Clayburgh,1978,White,4,Non-Winner,Erica Benton,An Unmarried Woman
Geraldine Page,1978,White,5,Non-Winner,Eve,Interiors
Sally Field,1979,White,1,Winner,Norma Rae Webster,Norma Rae
Jill Clayburgh,1979,White,2,Non-Winner,Marilyn Holmberg,Starting Over
Jane Fonda,1979,White,3,Non-Winner,Kimberly Wells,The China Syndrome
Marsha Mason,1979,White,4,Non-Winner,Jennie MacLaine,Chapter Two
Bette Midler,1979,White,5,Non-Winner,Mary Rose Foster,The Rose
Sissy Spacek,1980,White,1,Winner,Loretta Lynn,Coal Miners Daughter
Ellen Burstyn,1980,White,2,Non-Winner,Edna Mae HarperMcCauley,Resurrection
Goldie Hawn,1980,White,3,Non-Winner,Judy Benjamin,Private Benjamin
Mary Tyler Moore,1980,White,4,Non-Winner,Beth Jarrett,Ordinary People
Gena Rowlands,1980,White,5,Non-Winner,Gloria Swenson,Gloria
Katharine Hepburn,1981,White,1,Winner,Ethel Thayer,On Golden Pond
Diane Keaton,1981,White,2,Non-Winner,Louise Bryant,Reds
Marsha Mason,1981,White,3,Non-Winner,Georgia Hines,Only When I Laugh
