Name,Value,Race,Index,Winner,Role,Film
Chlo Sevigny,1999,White,5,Non-Winner,Lana Tisdel,Boys Dont Cry
Marcia Gay Harden,2000,White,1,Winner,Lee Krasner,Pollock
Judi Dench,2000,White,2,Non-Winner,Armande Voizin,Chocolat
Kate Hudson,2000,White,3,Non-Winner,Penny Lane,Almost Famous
Frances McDormand,2000,White,4,Non-Winner,Elaine Miller,
Julie Walters,2000,White,5,Non-Winner,Georgia Wilkinson,Billy Elliot
Jennifer Connelly,2001,White,1,Winner,Alicia Nash,A Beautiful Mind
Helen Mirren,2001,White,2,Non-Winner,Jane Wilson,Gosford Park
Maggie Smith,2001,White,3,Non-Winner,Constance Trentham,
Marisa Tomei,2001,White,4,Non-Winner,Natalie Strout,In the Bedroom
Kate Winslet,2001,White,5,Non-Winner,Iris Murdoch,Iris
Queen Latifah,2002,Non-White,1,Non-Winner,Matron Mama Morton,Chicago
Catherine ZetaJones,2002,White,1,Winner,Velma Kelly,Chicago
Kathy Bates,2002,White,2,Non-Winner,Roberta Hertzel,About Schmidt
Julianne Moore,2002,White,3,Non-Winner,Laura McGrathBrown,The Hours
Meryl Streep,2002,White,4,Non-Winner,Susan Orlean,Adaptation
Shohreh Aghdashloo,2003,Non-White,1,Non-Winner,Nadereh Behrani,House of Sand and Fog
Rene Zellweger,2003,White,1,Winner,Ruby Thewes,Cold Mountain
Patricia Clarkson,2003,White,2,Non-Winner,Joy Burns,Pieces of April
Marcia Gay Harden,2003,White,3,Non-Winner,Celeste Boyle,Mystic River
Holly Hunter,2003,White,4,Non-Winner,Melanie Freeland,Thirteen
Sophie Okonedo,2004,Non-White,1,Non-Winner,Tatiana Rusesabagina,Hotel Rwanda
Cate Blanchett,2004,White,1,Winner,Katharine Hepburn,The Aviator
Laura Linney,2004,White,2,Non-Winner,Clara McMillen,Kinsey
Virginia Madsen,2004,White,3,Non-Winner,Maya Randall,Sideways
Natalie Portman,2004,White,4,Non-Winner,Jane Jones Alice Ayres,Closer
Rachel Weisz,2005,White,1,Winner,Tessa Quayle,The Constant Gardener
Amy Adams,2005,White,2,Non-Winner,Ashley Johnsten,Junebug
Catherine Keener,2005,White,3,Non-Winner,Nelle Harper Lee,Capote
Frances McDormand,2005,White,4,Non-Winner,Glory Dodge,North Country
Michelle Williams,2005,White,5,Non-Winner,Alma Beers,Brokeback Mountain
Jennifer Hudson,2006,Non-White,1,Winner,Effie White,Dreamgirls
Adriana Barraza,2006,Non-White,2,Non-Winner,Amelia Hernndez,Babel
Rinko Kikuchi,2006,Non-White,3,Non-Winner,Chieko Wataya,Babel
Cate Blanchett,2006,White,1,Non-Winner,Bathsheba Sheba Hart,Notes on a Scandal
Abigail Breslin,2006,White,2,Non-Winner,Olive Hoover,Little Miss Sunshine
Tilda Swinton,2007,White,1,Winner,Karen Crowder,Michael Clayton
