Name,Value,Race,Gender,Index,Winner,Role,Film
Arthur Penn,1969,White,Male,4,Non-Winner,Arthur Penn,Alices Restaurant
Sydney Pollack,1969,White,Male,5,Non-Winner,Sydney Pollack,They Shoot Horses Dont They
Franklin J Schaffner,1970,White,Male,1,Winner,Franklin J Schaffner,Patton
Robert Altman,1970,White,Male,2,Non-Winner,Robert Altman,MASH
Federico Fellini,1970,White,Male,3,Non-Winner,Federico Fellini,Fellini Satyricon
Arthur Hiller,1970,White,Male,4,Non-Winner,Arthur Hiller,Love Story
Ken Russell,1970,White,Male,5,Non-Winner,Ken Russell,Women in Love
William Friedkin,1971,White,Male,1,Winner,William Friedkin,The French Connection
Peter Bogdanovich,1971,White,Male,2,Non-Winner,Peter Bogdanovich,The Last Picture Show
Norman Jewison,1971,White,Male,3,Non-Winner,Norman Jewison,Fiddler on the Roof
Stanley Kubrick,1971,White,Male,4,Non-Winner,Stanley Kubrick,A Clockwork Orange
John Schlesinger,1971,White,Male,5,Non-Winner,John Schlesinger,Sunday Bloody Sunday
Bob Fosse,1972,White,Male,1,Winner,Bob Fosse,Cabaret
John Boorman,1972,White,Male,2,Non-Winner,John Boorman,Deliverance
Francis Ford Coppola,1972,White,Male,3,Non-Winner,Francis Ford Coppola,The Godfather
Joseph L Mankiewicz,1972,White,Male,4,Non-Winner,Joseph L Mankiewicz,Sleuth
Jan Troell,1972,White,Male,5,Non-Winner,Jan Troell,The Emigrants
George Roy Hill,1973,White,Male,1,Winner,George Roy Hill,The Sting
Ingmar Bergman,1973,White,Male,2,Non-Winner,Ingmar Bergman,Cries and Whispers
Bernardo Bertolucci,1973,White,Male,3,Non-Winner,Bernardo Bertolucci,Last Tango in Paris
William Friedkin,1973,White,Male,4,Non-Winner,William Friedkin,The Exorcist
George Lucas,1973,White,Male,5,Non-Winner,George Lucas,American Graffiti
Francis Ford Coppola,1974,White,Male,1,Winner,Francis Ford Coppola,The Godfather Part II
John Cassavetes,1974,White,Male,2,Non-Winner,John Cassavetes,A Woman Under the Influence
Bob Fosse,1974,White,Male,3,Non-Winner,Bob Fosse,Lenny
Roman Polanski,1974,White,Male,4,Non-Winner,Roman Polanski,Chinatown
Franois Truffaut,1974,White,Male,5,Non-Winner,Franois Truffaut,Day for Night
Milo Forman,1975,White,Male,1,Winner,Milo Forman,One Flew Over the Cuckoos Nest
Robert Altman,1975,White,Male,2,Non-Winner,Robert Altman,Nashville
Federico Fellini,1975,White,Male,3,Non-Winner,Federico Fellini,Amarcord
Stanley Kubrick,1975,White,Male,4,Non-Winner,Stanley Kubrick,Barry Lyndon
Sidney Lumet,1975,White,Male,5,Non-Winner,Sidney Lumet,Dog Day Afternoon
Lina Wertmller,1976,White,Female,1,Non-Winner,Lina Wertmller,Seven Beauties
John G Avildsen,1976,White,Male,2,Winner,John G Avildsen,Rocky
Ingmar Bergman,1976,White,Male,3,Non-Winner,Ingmar Bergman,Face to Face
Sidney Lumet,1976,White,Male,4,Non-Winner,Sidney Lumet,Network
Alan J Pakula,1976,White,Male,5,Non-Winner,Alan J Pakula,All the Presidents Men
Woody Allen,1977,White,Male,1,Winner,Woody Allen,Annie Hall
George Lucas,1977,White,Male,2,Non-Winner,George Lucas,Star Wars
Herbert Ross,1977,White,Male,3,Non-Winner,Herbert Ross,The Turning Point
Steven Spielberg,1977,White,Male,4,Non-Winner,Steven Spielberg,Close Encounters of the Third Kind
Fred Zinnemann,1977,White,Male,5,Non-Winner,Fred Zinnemann,Julia
Michael Cimino,1978,White,Male,1,Winner,Michael Cimino,The Deer Hunter
Woody Allen,1978,White,Male,2,Non-Winner,Woody Allen,Interiors
Hal Ashby,1978,White,Male,3,Non-Winner,Hal Ashby,Coming Home
Warren Beatty Buck Henry,1978,White,Male,4,Non-Winner,Warren Beatty Buck Henry,Heaven Can Wait
Alan Parker,1978,White,Male,5,Non-Winner,Alan Parker,Midnight Express
Robert Benton,1979,White,Male,1,Winner,Robert Benton,Kramer vs Kramer
Francis Ford Coppola,1979,White,Male,2,Non-Winner,Francis Ford Coppola,Apocalypse Now
Bob Fosse,1979,White,Male,3,Non-Winner,Bob Fosse,All That Jazz
douard Molinaro,1979,White,Male,4,Non-Winner,douard Molinaro,La Cage aux Folles
Peter Yates,1979,White,Male,5,Non-Winner,Peter Yates,Breaking Away
Robert Redford,1980,White,Male,1,Winner,Robert Redford,Ordinary People
David Lynch,1980,White,Male,2,Non-Winner,David Lynch,The Elephant Man
