Name,Value,Race,Index,Winner,Role,Film
Lee J Cobb,1958,White,3,Non-Winner,Fyodor Karamazov,The Brothers Karamazov
Arthur Kennedy,1958,White,4,Non-Winner,Frank Hirsh,Some Came Running
Gig Young,1958,White,5,Non-Winner,Dr Hugo Pine,Teachers Pet
Hugh Griffith,1959,White,1,Winner,Sheik Ilderim,BenHur
Arthur OConnell,1959,White,2,Non-Winner,Parnell Emmett McCarthy,Anatomy of a Murder
George C Scott,1959,White,3,Non-Winner,Asst State Atty Gen Claude Dancer,
Robert Vaughn,1959,White,4,Non-Winner,Chester Chet Gwynn,The Young Philadelphians
Ed Wynn,1959,White,5,Non-Winner,Albert Dussell,The Diary of Anne Frank
Peter Ustinov,1960,White,1,Winner,Lentulus Batiatus,Spartacus
Peter Falk,1960,White,2,Non-Winner,Abe Kid Twist Reles,Murder Inc
Jack Kruschen,1960,White,3,Non-Winner,Dr Dreyfuss,The Apartment
Sal Mineo,1960,White,4,Non-Winner,Dov Landau,Exodus
Chill Wills,1960,White,5,Non-Winner,Beekeeper,The Alamo
George Chakiris,1961,White,1,Winner,Bernardo Nuez,West Side Story
Montgomery Clift,1961,White,2,Non-Winner,Rudolph Petersen,Judgment at Nuremberg
Peter Falk,1961,White,3,Non-Winner,Joy Boy,Pocketful of Miracles
Jackie Gleason,1961,White,4,Non-Winner,Minnesota Fats,The Hustler
George C Scott A,1961,White,5,Non-Winner,Bert Gordon,
Ed Begley,1962,White,1,Winner,Tom Boss Finley,Sweet Bird of Youth
Victor Buono,1962,White,2,Non-Winner,Edwin Flagg,What Ever Happened to Baby Jane
Telly Savalas,1962,White,3,Non-Winner,Feto Gomez,Birdman of Alcatraz
Omar Sharif,1962,White,4,Non-Winner,Sherif Ali ibn el Kharish,Lawrence of Arabia
Terence Stamp,1962,White,5,Non-Winner,Billy Budd,Billy Budd
Melvyn Douglas,1963,White,1,Winner,Homer Bannon,Hud
Nick Adams,1963,White,2,Non-Winner,Ben Brown,Twilight of Honor
Bobby Darin,1963,White,3,Non-Winner,Corporal Jim Tompkins,Captain Newman MD
Hugh Griffith,1963,White,4,Non-Winner,Squire Western,Tom Jones
John Huston,1963,White,5,Non-Winner,Cardinal Glennon,The Cardinal
Peter Ustinov,1964,White,1,Winner,Arthur Simon Simpson,Topkapi
John Gielgud,1964,White,2,Non-Winner,Louis VII of France,Becket
Stanley Holloway,1964,White,3,Non-Winner,Alfred Doolittle,My Fair Lady
Edmond OBrien,1964,White,4,Non-Winner,Senator Raymond Clark,Seven Days in May
Lee Tracy,1964,White,5,Non-Winner,President Art Hockstader,The Best Man
Martin Balsam,1965,White,1,Winner,Arnold Burns,A Thousand Clowns
Ian Bannen,1965,White,2,Non-Winner,Ratbags Crow,The Flight of the Phoenix
Tom Courtenay,1965,White,3,Non-Winner,Pasha Antipov Strelnikov,Doctor Zhivago
Michael Dunn,1965,White,4,Non-Winner,Carl Glocken,Ship of Fools
Frank Finlay,1965,White,5,Non-Winner,Iago,Othello
Mako,1966,Non-White,1,Non-Winner,Pohan,The Sand Pebbles
Walter Matthau,1966,White,1,Winner,Willie Gingrich,The Fortune Cookie
James Mason,1966,White,2,Non-Winner,James Leamington,Georgy Girl
George Segal,1966,White,3,Non-Winner,Nick,Whos Afraid of Virginia Woolf
Robert Shaw,1966,White,4,Non-Winner,Henry VIII of England,A Man for All Seasons
George Kennedy,1967,White,1,Winner,Dragline,Cool Hand Luke
John Cassavetes,1967,White,2,Non-Winner,Victor P Franko,The Dirty Dozen
Gene Hackman,1967,White,3,Non-Winner,Buck Barrow,Bonnie and Clyde
Cecil Kellaway,1967,White,4,Non-Winner,Monsignor Mike Ryan,Guess Whos Coming to Dinner
Michael J Pollard,1967,White,5,Non-Winner,CW Moss,Bonnie and Clyde
Jack Albertson,1968,White,1,Winner,John Cleary,The Subject Was Roses
Seymour Cassel,1968,White,2,Non-Winner,Chet,Faces
Daniel Massey,1968,White,3,Non-Winner,Nol Coward,Star
Jack Wild,1968,White,4,Non-Winner,The Artful Dodger,Oliver
Gene Wilder,1968,White,5,Non-Winner,Leo Bloom,The Producers
Rupert Crosse,1969,Non-White,1,Non-Winner,Ned McCaslin,The Reivers
Gig Young,1969,White,1,Winner,Rocky Graver,They Shoot Horses Dont They
Elliott Gould,1969,White,2,Non-Winner,Ted Henderson,Bob Carol Ted Alice
Jack Nicholson,1969,White,3,Non-Winner,George Hanson,Easy Rider
Anthony Quayle,1969,White,4,Non-Winner,Cardinal Wolsey,Anne of the Thousand Days
Chief Dan George,1970,Non-White,1,Non-Winner,Old Lodge Skins,Little Big Man
John Mills,1970,White,1,Winner,Michael,Ryans Daughter
Richard S Castellano,1970,White,2,Non-Winner,Frank Vecchio,Lovers and Other Strangers
Gene Hackman,1970,White,3,Non-Winner,Gene Garrison,I Never Sang for My Father
John Marley,1970,White,4,Non-Winner,Phil Cavalleri,Love Story
Ben Johnson,1971,White,1,Winner,Sam the Lion,The Last Picture Show
Jeff Bridges,1971,White,2,Non-Winner,Duane Jackson,The Last Picture Show
Leonard Frey,1971,White,3,Non-Winner,Motel Kamzoil,Fiddler on the Roof
Richard Jaeckel,1971,White,4,Non-Winner,Joe Ben Stamper,Sometimes a Great Notion
Roy Scheider,1971,White,5,Non-Winner,Det Buddy Cloudy Russo,The French Connection
Joel Grey,1972,White,1,Winner,Master of Ceremonies,Cabaret
Eddie Albert,1972,White,2,Non-Winner,Mr Corcoran,The Heartbreak Kid
James Caan,1972,White,3,Non-Winner,Sonny Corleone,The Godfather
Robert Duvall,1972,White,4,Non-Winner,Tom Hagen,
Al Pacino,1972,White,5,Non-Winner,Michael Corleone,
John Houseman,1973,White,1,Winner,Charles W Kingsfield Jr,The Paper Chase
Vincent Gardenia,1973,White,2,Non-Winner,Dutch Schnell,Bang the Drum Slowly
Jack Gilford,1973,White,3,Non-Winner,Phil Greene,Save the Tiger
Jason Miller,1973,White,4,Non-Winner,Father Damien Karras,The Exorcist
Randy Quaid,1973,White,5,Non-Winner,Larry Meadows,The Last Detail
Robert De Niro,1974,White,1,Winner,Vito Corleone,The Godfather Part II
Fred Astaire,1974,White,2,Non-Winner,Harlee Claiborne,The Towering Inferno
Jeff Bridges,1974,White,3,Non-Winner,Lightfoot,Thunderbolt and Lightfoot
Michael V Gazzo,1974,White,4,Non-Winner,Frank Pentangeli,The Godfather Part II
Lee Strasberg,1974,White,5,Non-Winner,Hyman Roth,
George Burns,1975,White,1,Winner,Al Lewis,The Sunshine Boys
Brad Dourif,1975,White,2,Non-Winner,Billy Bibbit,One Flew Over the Cuckoos Nest
Burgess Meredith,1975,White,3,Non-Winner,Harry Greener,The Day of the Locust
Chris Sarandon,1975,White,4,Non-Winner,Leon Shermer,Dog Day Afternoon
Jack Warden,1975,White,5,Non-Winner,Lester Karpf,Shampoo
Jason Robards,1976,White,1,Winner,Ben Bradlee,All the Presidents Men
Ned Beatty,1976,White,2,Non-Winner,Arthur Jensen,Network
Burgess Meredith,1976,White,3,Non-Winner,Mickey Goldmill,Rocky
Laurence Olivier,1976,White,4,Non-Winner,Dr Christian Szell,Marathon Man
Burt Young,1976,White,5,Non-Winner,Paulie Pennino,Rocky
Jason Robards,1977,White,1,Winner,Dashiell Hammett,Julia
Mikhail Baryshnikov,1977,White,2,Non-Winner,Yuri Kopeikine,The Turning Point
Peter Firth,1977,White,3,Non-Winner,Alan Strang,Equus
Alec Guinness,1977,White,4,Non-Winner,ObiWan Kenobi,Star Wars
Maximilian Schell,1977,White,5,Non-Winner,Johann,Julia
Christopher Walken,1978,White,1,Winner,Nikonar Nick Chevotarevich,The Deer Hunter
Bruce Dern,1978,White,2,Non-Winner,Capt Bob Hyde,Coming Home
Richard Farnsworth,1978,White,3,Non-Winner,Dodger,Comes a Horseman
John Hurt,1978,White,4,Non-Winner,Max,Midnight Express
Jack Warden,1978,White,5,Non-Winner,Max Corkle,Heaven Can Wait
Melvyn Douglas,1979,White,1,Winner,Benjamin Turnbull Rand,Being There
Robert Duvall,1979,White,2,Non-Winner,Lt Col Bill Kilgore,Apocalypse Now
Frederic Forrest,1979,White,3,Non-Winner,Houston Dyer,The Rose
Justin Henry,1979,White,4,Non-Winner,Billy Kramer,Kramer vs Kramer
Mickey Rooney,1979,White,5,Non-Winner,Henry Dailey,The Black Stallion
Timothy Hutton,1980,White,1,Winner,Conrad Jarrett,Ordinary People
Judd Hirsch,1980,White,2,Non-Winner,Dr Tyrone C Berger,Ordinary People
Michael OKeefe,1980,White,3,Non-Winner,Ben Meechum,The Great Santini
Joe Pesci,1980,White,4,Non-Winner,Joey LaMotta,Raging Bull
Jason Robards,1980,White,5,Non-Winner,Howard Hughes,Melvin and Howard
Howard Rollins,1981,Non-White,1,Non-Winner,Coalhouse Walker Jr,Ragtime
John Gielgud,1981,White,1,Winner,Hobson,Arthur
James Coco,1981,White,2,Non-Winner,Jimmy Perry,Only When I Laugh
Ian Holm,1981,White,3,Non-Winner,Sam Mussabini,Chariots of Fire
Jack Nicholson,1981,White,4,Non-Winner,Eugene ONeill,Reds
Louis Gossett Jr,1982,Non-White,1,Winner,Gunnery Sgt Emil Foley,An Officer and a Gentleman
Charles Durning,1982,White,1,Non-Winner,Governor,The Best Little Whorehouse in Texas
John Lithgow,1982,White,2,Non-Winner,Roberta Muldoon,The World According to Garp
James Mason,1982,White,3,Non-Winner,Ed Concannon,The Verdict
Robert Preston,1982,White,4,Non-Winner,Carroll Toddy Todd,VictorVictoria
Jack Nicholson,1983,White,1,Winner,Garrett Breedlove,Terms of Endearment
Charles Durning,1983,White,2,Non-Winner,Colonel Erhardt,To Be or Not to Be
John Lithgow,1983,White,3,Non-Winner,Sam Burns,Terms of Endearment
Sam Shepard,1983,White,4,Non-Winner,Chuck Yeager,The Right Stuff
Rip Torn,1983,White,5,Non-Winner,Marsh Turner,Cross Creek
Haing S Ngor,1984,Non-White,1,Winner,Dith Pran,The Killing Fields
Adolph Caesar,1984,Non-White,2,Non-Winner,Sgt Waters,A Soldiers Story
Pat Morita,1984,Non-White,3,Non-Winner,Kesuke Miyagi,The Karate Kid
John Malkovich,1984,White,1,Non-Winner,Mr Will,Places in the Heart
Ralph Richardson,1984,White,2,Non-Winner,The Sixth Earl of Greystoke,Greystoke The Legend of Tarzan Lord of the Apes
Don Ameche,1985,White,1,Winner,Arthur Selwyn,Cocoon
Klaus Maria Brandauer,1985,White,2,Non-Winner,Baron Bror von BlixenFinecke,Out of Africa
William Hickey,1985,White,3,Non-Winner,Don Corrado Prizzi,Prizzis Honor
Robert Loggia,1985,White,4,Non-Winner,Sam Ransom,Jagged Edge
Eric Roberts,1985,White,5,Non-Winner,Buck,Runaway Train
Michael Caine,1986,White,1,Winner,Elliott Daniels,Hannah and Her Sisters
Tom Berenger,1986,White,2,Non-Winner,Sgt Bob Barnes,Platoon
Willem Dafoe,1986,White,3,Non-Winner,Sgt Elias Grodin,
Denholm Elliott,1986,White,4,Non-Winner,Mr Emerson,A Room with a View
Dennis Hopper,1986,White,5,Non-Winner,Wilbur Shooter Flatch,Hoosiers
Morgan Freeman,1987,Non-White,1,Non-Winner,Leo Fast Black Smalls Jr,Street Smart
Denzel Washington,1987,Non-White,2,Non-Winner,Steve Biko,Cry Freedom
Sean Connery,1987,White,1,Winner,Jimmy Malone,The Untouchables
Albert Brooks,1987,White,2,Non-Winner,Aaron Altman,Broadcast News
Vincent Gardenia,1987,White,3,Non-Winner,Cosmo Castorini,Moonstruck
Kevin Kline,1988,White,1,Winner,Otto West,A Fish Called Wanda
Alec Guinness,1988,White,2,Non-Winner,William Dorrit,Little Dorrit
Martin Landau,1988,White,3,Non-Winner,Abe Karatz,Tucker The Man and His Dream
River Phoenix,1988,White,4,Non-Winner,Danny Pope,Running on Empty
Dean Stockwell,1988,White,5,Non-Winner,Tony The Tiger Russo,Married to the Mob
Denzel Washington,1989,Non-White,1,Winner,Pvt Silas Trip,Glory
Danny Aiello,1989,White,1,Non-Winner,Sal Frangione,Do the Right Thing
Dan Aykroyd,1989,White,2,Non-Winner,Boolie Werthan,Driving Miss Daisy
Marlon Brando,1989,White,3,Non-Winner,Ian Mackenzie,A Dry White Season
Martin Landau,1989,White,4,Non-Winner,Judah Rosenthal,Crimes and Misdemeanors
Andy Garca,1990,Non-White,1,Non-Winner,Vincent Mancini,The Godfather Part III
Joe Pesci,1990,White,1,Winner,Tommy DeVito,Goodfellas
Bruce Davison,1990,White,2,Non-Winner,David,Longtime Companion
Graham Greene,1990,White,3,Non-Winner,Kicking Bird,Dances with Wolves
Al Pacino,1990,White,4,Non-Winner,Alphonse Big Boy Caprice,Dick Tracy
Ben Kingsley,1991,Non-White,1,Non-Winner,Meyer Lansky,
Jack Palance,1991,White,1,Winner,Curly Washburn,City Slickers
Tommy Lee Jones,1991,White,2,Non-Winner,Clay Shaw,JFK
Harvey Keitel,1991,White,3,Non-Winner,Mickey Cohen,Bugsy
Michael Lerner,1991,White,4,Non-Winner,Jack Lipnick,Barton Fink
Jaye Davidson,1992,Non-White,1,Non-Winner,Dil,The Crying Game
Gene Hackman,1992,White,1,Winner,Little Bill Daggett,Unforgiven
Jack Nicholson,1992,White,2,Non-Winner,Colonel Nathan R Jessep,A Few Good Men
