Name,Value,Race,Index,Winner,Role,Film
Stuart Whitman,1961,White,5,Non-Winner,Jim Fuller,The Mark
Gregory Peck,1962,White,1,Winner,Atticus Finch,To Kill a Mockingbird
Burt Lancaster,1962,White,2,Non-Winner,Robert Stroud,Birdman of Alcatraz
Jack Lemmon,1962,White,3,Non-Winner,Joe Clay,Days of Wine and Roses
Marcello Mastroianni,1962,White,4,Non-Winner,Ferdinando Cefal,Divorce Italian Style
Peter OToole,1962,White,5,Non-Winner,T E Lawrence,Lawrence of Arabia
Sidney Poitier,1963,Non-White,1,Winner,Homer Smith,Lilies of the Field
Albert Finney,1963,White,1,Non-Winner,Tom Jones,Tom Jones
Richard Harris,1963,White,2,Non-Winner,Frank Machin,This Sporting Life
Rex Harrison,1963,White,3,Non-Winner,Julius Caesar,Cleopatra
Paul Newman,1963,White,4,Non-Winner,Hud Bannon,Hud
Anthony Quinn,1964,Non-White,1,Non-Winner,Alexis Zorba,Zorba the Greek
Rex Harrison,1964,White,1,Winner,Professor Henry Higgins,My Fair Lady
Richard Burton,1964,White,2,Non-Winner,Thomas Becket,Becket
Peter OToole,1964,White,3,Non-Winner,King Henry II of England,
Peter Sellers,1964,White,4,Non-Winner,Group Captain Lionel MandrakePresident Merkin MuffleyDr Strangelove,Dr Strangelove
Lee Marvin,1965,White,1,Winner,Kid ShelleenTim Strawn,Cat Ballou
Richard Burton,1965,White,2,Non-Winner,Alec Leamas,The Spy Who Came In from the Cold
Laurence Olivier,1965,White,3,Non-Winner,Othello,Othello
Rod Steiger,1965,White,4,Non-Winner,Sol Nazerman,The Pawnbroker
Oskar Werner,1965,White,5,Non-Winner,Willie Schumann,Ship of Fools
Paul Scofield,1966,White,1,Winner,Sir Thomas More,A Man for All Seasons
Alan Arkin,1966,White,2,Non-Winner,Lt Rozanov,The Russians Are Coming the Russians Are Coming
Richard Burton,1966,White,3,Non-Winner,George,Whos Afraid of Virginia Woolf
Michael Caine,1966,White,4,Non-Winner,Alfie Elkins,Alfie
Steve McQueen,1966,White,5,Non-Winner,Jake Holman,The Sand Pebbles
Rod Steiger,1967,White,1,Winner,Police Chief Bill Gillespie,In the Heat of the Night
Warren Beatty,1967,White,2,Non-Winner,Clyde Barrow,Bonnie and Clyde
Dustin Hoffman,1967,White,3,Non-Winner,Benjamin Braddock,The Graduate
Paul Newman,1967,White,4,Non-Winner,Lucas Cool Hand Luke Jackson,Cool Hand Luke
Spencer Tracy,1967,White,5,Non-Winner,Matt Drayton,Guess Whos Coming to Dinner
Cliff Robertson,1968,White,1,Winner,Charly Gordon,Charly
Alan Arkin,1968,White,2,Non-Winner,John Singer,The Heart Is a Lonely Hunter
Alan Bates,1968,White,3,Non-Winner,Yakov Bok,The Fixer
Ron Moody,1968,White,4,Non-Winner,Fagin,Oliver
Peter OToole,1968,White,5,Non-Winner,King Henry II of England,The Lion in Winter
John Wayne,1969,White,1,Winner,Reuben Rooster Cogburn,True Grit
Richard Burton,1969,White,2,Non-Winner,King Henry VIII of England,Anne of the Thousand Days
Dustin Hoffman,1969,White,3,Non-Winner,Enrico Salvatore Ratso Rico Rizzo,Midnight Cowboy
Peter OToole,1969,White,4,Non-Winner,Arthur Chipping,Goodbye Mr Chips
Jon Voight,1969,White,5,Non-Winner,Joe Buck,Midnight Cowboy
James Earl Jones,1970,Non-White,1,Non-Winner,Jack Jefferson,The Great White Hope
George C Scott,1970,White,1,Winner,General George S Patton Jr,Patton
Melvyn Douglas,1970,White,2,Non-Winner,Tom Garrison,I Never Sang for My Father
Jack Nicholson,1970,White,3,Non-Winner,Robert Eroica Dupea,Five Easy Pieces
Ryan ONeal,1970,White,4,Non-Winner,Oliver Barrett IV,Love Story
Gene Hackman,1971,White,1,Winner,Detective Jimmy Popeye Doyle,The French Connection
Peter Finch,1971,White,2,Non-Winner,Dr Daniel Hirsh,Sunday Bloody Sunday
Walter Matthau,1971,White,3,Non-Winner,Joseph P Kotcher,Kotch
George C Scott,1971,White,4,Non-Winner,Dr Herbert Bock,The Hospital
Topol,1971,White,5,Non-Winner,Tevye,Fiddler on the Roof
Paul Winfield,1972,Non-White,1,Non-Winner,Nathan Lee Morgan,Sounder
